Sample_ID,Sample_Code,Collection_Date,Sample_Type,Replicate_Number,Day_aft_Irrigation,Sample_Description,Experimental_Replicate,Amount,Units,DNA_Clean_up,Dilution_1_in_10,Reason,Include_in_analysis,Notes
PK_BF_D_07-15-16_R2,BG,7/15/2017,Soil,2,NA,Fertilizer added to soil,Replicate 2,0.2,grams,No,Yes,Background,Not sure,"Was included to get an idea about background community before irrigation began. In case we see something ""weird"" in our experimental samples so we can look at the background samples to see where it could have come from"
PK_RS_D_08-02-16_R1,RS,8/2/2017,Soil,1,NA,Composite sample of soil from plants irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
PK_RS_D_08-02-16_R2,RS,8/2/2017,Soil,2,NA,Composite sample of soil from plants irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_RS_D_08-24-16_R1,RS,8/24/2017,Soil,1,NA,Composite sample of soil from plants irrigated with reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
PK_RS_D_08-24-16_R2,RS,8/24/2017,Soil,2,NA,Composite sample of soil from plants irrigated with reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_ZS_D_08-02-16_R1,ZS,8/2/2017,Soil,1,NA,Composite sample of soil from plants irrigated with ZVI filtered reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
PK_ZS_D_08-02-16_R2,ZS,8/2/2017,Soil,2,NA,Composite sample of soil from plants irrigated with ZVI filtered reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_ZS_D_08-24-16_R1,ZS,8/24/2017,Soil,1,NA,Composite sample of soil from plants irrigated with ZVI filtered reclaimed water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
PK_ZS_D_08-24-16_R2,ZS,8/24/2017,Soil,2,NA,Composite sample of soil from plants irrigated with ZVI filtered reclaimed water,Replicate 2,0.2,grams,No,Yes,Experiment,Not sure,
PK_TS_D_08-02-16_R1,TS,8/2/2017,Soil,1,NA,Composite sample of soil from plants irrigated with tap water,Replicate 1,0.2,grams,No,Yes,Experiment,Not sure,
